,ID,SPEED,FUNCL,LANES,AB_CAPACITY,BA_CAPACITY,COUNT,TIME,ALPHA,BETA,TYPE,IVTT,WalkTime,Existing,Connector
0,1523,30.0,5,2,24000,24000,2000,0.7164319753646851,2.0,4.0,,0.7164319753646851,5.373239815235138,1,
1,3041,25.0,3,1,12800,12800,,1.3021440982818604,2.0,4.0,SERVICE ROAD,1.3021440982818604,8.138400614261627,1,
2,2136,35.0,2,1,12000,12000,,0.6787509747913906,3.0,4.0,RAMP,0.6787509747913906,5.939071029424667,1,
3,3040,35.0,2,1,12000,12000,,0.097918267760958,3.0,4.0,RAMP,0.097918267760958,0.8567848429083824,1,
4,3042,35.0,2,1,12000,12000,,0.18241467220442634,3.0,4.0,RAMP,0.18241467220442636,1.5961283817887306,1,
5,2985,25.0,6,1,10400,10400,,0.05731632560491562,2.0,4.0,,0.05731632560491562,0.3582270350307226,1,
6,2984,65.0,1,3,43200,43200,4200,0.032429901453164905,0.15,4.0,Highways,0.032429901453164905,0.5269858986139297,1,
7,2987,25.0,6,1,10400,10400,,0.10489766299724579,2.0,4.0,,0.10489766299724579,0.6556103937327862,1,
8,2983,25.0,6,1,10400,10400,,0.09288180470466613,2.0,4.0,,0.09288180470466614,0.5805112794041634,1,
9,2986,65.0,1,3,43200,43200,4200,0.35968277087578404,0.15,4.0,Highways,0.35968277087578404,5.844845026731491,1,
10,2982,65.0,1,3,43200,43200,4200,0.3546973283474262,0.15,4.0,Highways,0.3546973283474262,5.763831585645676,1,
11,3043,25.0,3,1,12800,12800,,0.17544407844543458,2.0,4.0,SERVICE ROAD,0.17544407844543458,1.096525490283966,1,
12,2138,25.0,3,1,12800,12800,,0.0307647205889225,2.0,4.0,SERVICE ROAD,0.0307647205889225,0.19227950368076563,1,
13,2137,30.0,5,2,24000,24000,2000,0.5775942206382751,2.0,4.0,,0.5775942206382751,4.331956654787064,1,
14,2135,35.0,2,1,12000,12000,,0.29404234886169434,3.0,4.0,RAMP,0.29404234886169434,2.5728705525398254,1,
15,2134,65.0,1,3,43200,43200,40000,1.5411287454458384,0.15,4.0,Highways,1.5411287454458384,25.043342113494873,1,
16,2132,30.0,4,2,26400,26400,6800,1.1396989822387695,1.5,4.0,,1.1396989822387695,8.547742366790771,1,
17,2131,65.0,1,3,43200,43200,40000,1.3556208977332482,0.15,4.0,Highways,1.3556208977332482,22.028839588165283,1,
18,3031,65.0,1,3,43200,43200,9080,1.9491251431978667,0.15,4.0,Highways,1.9491251431978667,31.673283576965332,1,
19,3025,65.0,1,3,43200,43200,9080,2.1972544009868913,0.15,4.0,Highways,2.1972544009868917,35.70538401603699,1,
20,3030,35.0,2,1,12000,12000,,0.5747156994683402,3.0,4.0,RAMP,0.5747156994683402,5.028762370347977,1,
21,1035,25.0,6,1,10400,10400,200,1.4433544635772704,2.0,4.0,,1.4433544635772706,9.02096539735794,1,
22,3020,25.0,6,1,10400,10400,630,0.6960605621337891,2.0,4.0,,0.6960605621337891,4.350378513336182,1,
23,3026,35.0,2,1,12000,12000,,0.13108187913894653,3.0,4.0,RAMP,0.13108187913894653,1.1469664424657822,1,
24,1024,25.0,6,1,10400,10400,630,0.10675765872001648,2.0,4.0,,0.10675765872001648,0.667235367000103,1,
25,3022,65.0,1,3,43200,43200,660,0.040904378661742576,0.15,4.0,Highways,0.040904378661742576,0.6646961532533169,1,
26,1554,30.0,5,2,24000,24000,800,2.2356302738189697,2.0,4.0,,2.2356302738189697,16.767227053642273,1,
27,1553,30.0,5,2,24000,24000,800,1.0119969844818115,2.0,4.0,,1.0119969844818115,7.589977383613586,1,
28,1544,30.0,5,2,24000,24000,880,1.8344169855117798,2.0,4.0,,1.8344169855117798,13.758127391338348,1,
29,1542,30.0,5,2,24000,24000,900,1.0528101921081543,2.0,4.0,,1.0528101921081543,7.896076440811157,1,
30,2145,35.0,2,1,12000,12000,,0.2987793598856245,3.0,4.0,RAMP,0.2987793598856245,2.614319398999214,1,
31,2151,25.0,3,1,12800,12800,,0.3245963215827942,2.0,4.0,SERVICE ROAD,0.32459632158279417,2.0287270098924637,1,
32,2144,30.0,5,2,24000,24000,1560,0.8436897397041321,2.0,4.0,,0.8436897397041321,6.327673047780991,1,
33,2143,65.0,1,3,43200,43200,40000,0.5613246697645922,0.15,4.0,Highways,0.561324669764592,9.121525883674622,1,
34,1540,30.0,5,2,24000,24000,1560,0.051429178565740585,2.0,4.0,,0.051429178565740585,0.3857188392430544,1,
35,2141,65.0,1,3,43200,43200,40000,0.5737478916461651,0.15,4.0,Highways,0.5737478916461651,9.323403239250183,1,
36,2147,35.0,2,1,12000,12000,,0.5160061802182878,3.0,4.0,RAMP,0.5160061802182879,4.515054076910019,1,
37,2146,65.0,1,3,43200,43200,40000,0.20895757583471444,0.15,4.0,Highways,0.20895757583471444,3.39556060731411,1,
38,2133,35.0,2,1,12000,12000,,0.27678593567439486,3.0,4.0,RAMP,0.27678593567439486,2.421876937150955,1,
39,1538,30.0,4,2,26400,26400,6800,1.1381301879882812,1.5,4.0,,1.1381301879882812,8.53597640991211,1,
40,1537,30.0,4,2,26400,26400,6800,1.0162148475646973,1.5,4.0,,1.0162148475646973,7.6216113567352295,1,
41,1536,30.0,4,2,26400,26400,6800,1.0330617427825928,1.5,4.0,,1.0330617427825928,7.747963070869446,1,
42,2152,35.0,2,1,12000,12000,,0.310580849647522,3.0,4.0,RAMP,0.310580849647522,2.7175824344158173,1,
43,1521,30.0,5,2,24000,24000,1260,1.0998529195785522,2.0,4.0,,1.0998529195785522,8.248896896839142,1,
44,2142,25.0,3,1,12800,12800,,0.2809414565563202,2.0,4.0,SERVICE ROAD,0.2809414565563202,1.7558841034770012,1,
45,2139,25.0,6,1,10400,10400,1590,0.08008502125740051,2.0,4.0,,0.08008502125740051,0.5005313828587532,1,
46,1524,25.0,6,1,10400,10400,1590,0.1901295304298401,2.0,4.0,,0.1901295304298401,1.1883095651865005,1,
47,3044,25.0,3,1,12800,12800,,0.21917079091072084,2.0,4.0,SERVICE ROAD,0.21917079091072084,1.3698174431920052,1,
48,1522,25.0,6,1,10400,10400,800,0.2574164986610412,2.0,4.0,,0.25741649866104127,1.6088531166315079,1,
49,1520,25.0,6,1,10400,10400,540,2.540493106842041,2.0,4.0,,2.540493106842041,15.878081917762756,1,
50,1518,25.0,6,1,10400,10400,300,0.2648981988430023,2.0,4.0,,0.2648981988430023,1.6556137427687645,1,
51,2140,35.0,2,1,12000,12000,,0.40329209395817345,3.0,4.0,RAMP,0.4032920939581735,3.528805822134018,1,
