,ID,CentroidFlag,TAZID,On,Off
0,1010,,,,
1,1645,,,,
2,2318,,,,
3,2317,,,,
4,1644,,,,
5,1643,,,,
6,2319,,,,
7,2273,,,,
8,2271,,,,
9,2272,,,,
10,2274,,,,
11,2276,,,,
12,1607,,,,
13,1640,,,,
14,1642,,,,
15,1641,,,,
16,1639,,,,
17,2305,,,,
18,2295,,,,
19,2302,,,,
20,2294,,,,
21,2306,,,,
22,501,,,,
23,502,,,,
24,2299,,,,
25,2296,,,,
26,2298,,,,
27,2300,,,,
28,1056,,,,
29,1080,,,,
30,1055,,,,
31,1049,,,,
32,1048,,,,
33,1648,,,,
34,1653,,,,
35,1649,,,,
36,1650,,,,
37,1606,,,,
38,1647,,,,
39,1045,,,,
40,1044,,,,
41,1043,,,,
42,1654,,,,
43,1011,,,,
44,1646,,,,
45,1012,,,,
46,1009,,,,
47,1694,,,,
48,1695,,,,
49,1692,,,,
50,1686,,,,
51,1687,,,,
52,1689,,,,
53,1062,,,,
54,1073,,,,
55,1684,,,,
56,1067,,,,
57,1602,,,,
58,1683,,,,
59,1682,,,,
60,1679,,,,
61,2255,,,,
62,1680,,,,
63,1674,,,,
64,1673,,,,
65,1083,,,,
66,1084,,,,
67,1054,,,,
68,1491,,,,
69,1053,,,,
70,1666,,,,
71,1667,,,,
72,1050,,,,
73,1051,,,,
74,1661,,,,
75,1659,,,,
76,1605,,,,
77,1651,,,,
78,1652,,,,
79,1693,,,,
80,1690,,,,
81,1681,,,,
82,883,,,,
83,1489,,,,
84,525,,,,
85,526,,,,
86,523,,,,
87,524,,,,
88,1678,,,,
89,1677,,,,
90,2218,,,,
91,452,,,,
92,453,,,,
93,508,,,,
94,454,,,,
95,1478,,,,
96,1552,,,,
97,1476,,,,
98,455,,,,
99,1579,,,,
100,459,,,,
101,1479,,,,
102,460,,,,
103,456,,,,
104,507,,,,
105,458,,,,
106,461,,,,
107,1477,,,,
108,1486,,,,
109,1575,,,,
110,1488,,,,
111,1632,,,,
112,1628,,,,
113,1629,,,,
114,471,,,,
115,472,,,,
116,2309,,,,
117,2314,,,,
118,2312,,,,
119,2313,,,,
120,2316,,,,
121,2308,,,,
122,377,,412,,
123,1553,,,,
124,1480,,,,
125,457,,,,
126,1481,,,,
127,1482,,,,
128,1483,,,,
129,374,,408,,
130,1657,,,,
131,1658,,,,
132,1655,,,,
133,2220,,,,
134,2270,,,,
135,2269,,,,
136,2287,,,,
137,2281,,,,
138,519,,,,
139,511,,,,
140,509,,,,
141,2282,,,,
142,2239,,,,
143,2240,,,,
144,506,,,,
145,2238,,,,
146,418,,,,
147,1926,,,,
148,2323,,,,
149,1932,,,,
150,1057,,,,
151,1077,,,,
152,1496,,,,
153,1558,,,,
154,1556,,,,
155,1058,,,,
156,1487,,,,
157,388,,,,
158,2089,,,,
159,2083,,,,
160,2445,,,,
161,2088,,,,
162,2093,,,,
163,2085,,,,
164,2087,,,,
165,1467,,,,
166,2439,,,,
167,1403,,,,
168,2453,,,,
169,2444,,,,
170,1515,,,,
171,1560,,,,
172,1508,,,,
173,1506,,,,
174,1507,,,,
175,1207,,,,
176,1294,,,,
177,1516,,,,
178,1563,,,,
179,1206,,,,
180,1212,,,,
181,1534,,,,
182,1210,,,,
183,1211,,,,
184,1213,,,,
185,1205,,,,
186,1505,,,,
187,2191,,,,
188,2190,,,,
189,2198,,,,
190,2197,,,,
191,2199,,,,
192,1519,,,,
193,1564,,,,
194,1513,,,,
195,1520,,,,
196,1881,,,,
197,1546,,,,
198,1397,,,,
199,1461,,,,
200,1853,,,,
201,1854,,,,
202,1855,,,,
203,1527,,,,
204,1451,,,,
205,1848,,,,
206,1856,,,,
207,1847,,,,
208,2496,,,,
209,1452,,,,
210,1454,,,,
211,1456,,,,
212,1460,,,,
213,1459,,,,
214,1453,,,,
215,1457,,,,
216,1209,,,,
217,1208,,,,
218,1521,,,,
219,1221,,,,
220,1220,,,,
221,1562,,,,
222,1512,,,,
223,1514,,,,
224,1561,,,,
225,1509,,,,
226,1892,,,,
227,1894,,,,
228,1891,,,,
229,1872,,,,
230,1875,,,,
231,1533,,,,
232,1870,,,,
233,1874,,,,
234,1871,,,,
235,1873,,,,
236,1869,,,,
237,1767,,,,
238,1543,,,,
239,1574,,,,
240,1440,,,,
241,1548,,,,
242,1441,,,,
243,1439,,,,
244,1442,,,,
245,1532,,,,
246,1573,,,,
247,1537,,,,
248,2078,,,,
249,2457,,,,
250,2071,,,,
251,2459,,,,
252,2172,,,,
253,2171,,,,
254,2154,,,,
255,2153,,,,
256,1406,,,4.652665138244629,169.1800537109375
257,1444,,,,
258,1436,,,,
259,2490,,,,
260,1437,,,,
261,1427,,,,
262,1435,,,,
263,2494,,,,
264,2503,,,,
265,1408,,,190.8646697998047,49.65542221069336
266,1438,,,,
267,1399,,,,
268,1405,,,,
269,1407,,,,
270,1380,,,145.69674682617188,187.60252380371094
271,2520,,,,
272,1379,,,132.13861083984375,123.83355712890625
273,1383,,,,
274,1725,,,,
275,1728,,,,
276,1731,,,,
277,1124,,,,
278,1130,,,,
279,1732,,,,
280,1724,,,,
281,1075,,,,
282,1182,,,,
283,1076,,,,
284,1074,,,,
285,1103,,,,
286,1104,,,,
287,1122,,,275.2845458984375,220.5762176513672
288,1105,,,,
289,1123,,,,
290,1125,,,,
291,1121,,,,
292,1713,,,,
293,1106,,,,
294,1120,,,,
295,1542,,,,
296,1762,,,,
297,1764,,,,
298,1863,,,,
299,1866,,,,
300,1864,,,,
301,1865,,,,
302,1867,,,,
303,1868,,,,
304,1538,,,,
305,1536,,,,
306,1541,,,,
307,1876,,,,
308,1879,,,,
309,1465,,,,
310,1544,,,,
311,1463,,,,
312,1443,,,,
313,1446,,,,
314,2489,,,,
315,414,,,,
316,416,,,,
317,409,,,,
318,415,,,,
319,410,,,,
320,1551,,,,
321,413,,,,
322,422,,,,
323,412,,,,
324,411,,,,
325,425,,,,
326,1202,,,,
327,1222,,,,
328,1203,,,,
329,1200,,,,
330,1224,,,,
331,1180,,,,
332,1078,,,,
333,1079,,,,
334,1201,,,,
335,549,,,,
336,550,,,,
337,548,,,,
338,1183,,,,
