,ID,NAME,ALTERNATE NAME,CLASS,LEFT ZIP,RIGHT ZIP,START LEFT,END LEFT,START RIGHT,END RIGHT,PARITY,Number,Label,CCSTYLE
0,37109264,,,A41,,,,,,,0,,,70
1,37109422,,,A41,,,,,,,0,,,70
2,37109427,,,A41,,,,,,,0,,,70
3,37109441,,,A41,,,,,,,0,,,70
4,37109451,,,A41,,,,,,,0,,,70
5,37109463,,,A41,,,,,,,0,,,70
6,37109491,,,A41,,,,,,,0,,,70
7,37109495,,,A41,,,,,,,0,,,70
8,37112076,,,A41,,,,,,,0,,,70
9,37112084,,,A41,,,,,,,0,,,70
10,37112133,,,A41,,,,,,,0,,,70
11,37112186,,,A41,,,,,,,0,,,70
12,37112199,,,A41,,,,,,,0,,,70
13,37112245,,,A41,,,,,,,0,,,70
14,37112250,,,A41,,,,,,,0,,,70
15,37112498,CROSS ST,,A41,,1721,,,,,0,,Cross St,70
16,37112509,DEER RIDGE RD,,A41,1721,1721,98,2,99,1,0,,Deer Ridge Rd,70
17,37112568,CROSS ST,,A41,,1721,,,,,0,,Cross St,70
18,37112587,,,A41,,,,,,,0,,,70
19,37112647,,,A41,,,,,,,0,,,70
20,37112657,HOWE ST,,A41,1721,1721,259,251,258,250,0,,Howe St,70
21,37112665,,,A41,,,,,,,0,,,70
22,37112683,,,A41,,,,,,,0,,,70
23,37112730,,,A41,,,,,,,0,,,70
24,37112755,HOWE ST,,A41,1721,1721,249,237,248,236,0,,Howe St,70
25,37112782,HOWE ST,,A41,1721,1721,235,201,234,222,0,,Howe St,70
26,37112808,,,A41,,,,,,,0,,,70
27,37112839,CROSS ST,,A41,1721,1721,48,52,23,29,0,,Cross St,70
28,37112873,HOWE ST,,A41,1721,1721,199,117,220,118,0,,Howe St,70
29,37112889,CROSS ST,,A41,,1721,,,,,0,,Cross St,70
30,37112902,HOWE ST,,A41,1721,1721,115,101,116,100,0,,Howe St,70
31,37112927,HOWE ST,,A41,1721,1721,81,99,98,82,0,,Howe St,70
32,37112959,HOLLY LN,,A41,1721,1721,43,1,28,2,0,,Holly Ln,70
33,37112998,CORDAVILLE RD,,A41,1721,1721,325,309,328,312,0,,Cordaville Rd,70
34,37113017,TELLER DR,,A41,,1721,,,,,0,,Teller Dr,70
35,37113022,TELLER DR,,A41,1721,1721,63,47,62,46,0,,Teller Dr,70
36,37113030,CORDAVILLE RD,,A41,1721,1721,307,227,310,234,0,,Cordaville Rd,70
37,37113093,DIANE LN,,A41,1721,1721,99,15,98,14,0,,Diane Ln,70
38,37113111,TELLER DR,,A41,1721,1721,45,29,44,24,0,,Teller Dr,70
39,37113124,MUTLEY RUN,,A41,1721,1721,2,10,1,11,0,,Mutley Run,70
40,37113132,TELLER DR,,A41,1721,1721,27,1,22,2,0,,Teller Dr,70
41,37113161,PINECREST LN,,A41,1721,1721,27,1,2,22,0,,Pinecrest Ln,70
42,37113198,OAK RIDGE LN,,A41,1721,1721,2,98,1,99,0,,Oak Ridge Ln,70
43,37113247,BOULDER HILL LN,,A41,1721,1721,18,98,17,99,0,,Boulder Hill Ln,70
44,37113266,DIANE LN,,A41,1721,1721,13,1,12,2,0,,Diane Ln,70
45,37113278,IRENE CIR,,A41,1721,1721,2,18,1,15,0,,Irene Cir,70
46,37113291,THOMAS ST,,A41,1721,1721,51,19,52,28,0,,Thomas St,70
47,37113340,HERITAGE AVE,,A41,1721,1721,48,64,47,67,0,,Heritage Ave,70
48,37113370,REVERE WAY,,A41,1721,1721,98,2,99,1,0,,Revere Way,70
49,37116058,THOMAS ST,,A41,1721,1721,91,53,88,54,0,,Thomas St,70
50,37116098,THOMAS ST,,A41,1721,1721,99,97,98,90,0,,Thomas St,70
51,37116111,THOMAS ST,,A41,,1721,,,,,0,,Thomas St,70
52,37116124,COLONIAL DR,,A41,1721,1721,2,98,1,99,0,,Colonial Dr,70
53,37116177,HERITAGE AVE,,A41,1721,1721,66,70,69,71,0,,Heritage Ave,70
54,37116208,CONSTITUTION ST,,A41,1721,1721,98,48,99,57,0,,Constitution St,70
55,37116240,HERITAGE AVE,,A41,1721,1721,72,100,73,101,0,,Heritage Ave,70
56,37116284,OREGON RD,,A41,1721,1721,213,201,236,208,0,,Oregon Rd,70
57,37116326,VINE ST,,A41,1721,1721,41,1,36,18,0,,Vine St,70
58,37121220,CLINTON ST,,A41,1748,1748,29,49,28,46,0,,Clinton St,70
59,37121395,OLIVE ST,,A41,1721,1721,239,201,224,198,0,,Olive St,70
60,37121430,CARY DR,,A41,1721,1721,5,25,2,46,0,,Cary Dr,70
61,37121449,WOODLAND RD,,A41,1721,1721,68,110,67,117,0,,Woodland Rd,70
62,37121491,CARY DR,,A41,,1721,,,3,3,0,,Cary Dr,70
63,37123061,OLIVE ST,,A41,1721,1721,199,145,196,146,0,,Olive St,70
64,37123105,LAFOLLETTE RD,,A41,1721,1721,99,1,98,2,0,,Lafollette Rd,70
65,37123129,LAURELTON DR,,A41,1721,1721,15,1,16,2,0,,Laurelton Dr,70
66,37123148,LAURELTON DR,,A41,1721,1721,18,40,17,43,0,,Laurelton Dr,70
67,37123172,OLIVE ST,,A41,1721,1721,143,125,144,130,0,,Olive St,70
68,37123381,,,A41,,,,,,,0,,,70
69,37123400,SPRING ST,,A41,1721,1721,71,65,,,0,,Spring St,70
70,37123467,SPRING ST,,A41,,1721,,,,,0,,Spring St,70
71,37123475,SPRING ST,,A49,,1721,,,,,0,,Spring St,70
72,37123480,SPRING ST,,A49,,1721,,,,,0,,Spring St,70
73,37123488,SPRING ST,,A41,,1721,,,,,0,,Spring St,70
74,37123514,SPRING ST,,A41,,1721,,,,,0,,Spring St,70
75,37123519,ALLARD CIR,,A41,1721,1721,49,41,50,34,0,,Allard Cir,70
76,37123934,,,A41,,,,,,,0,,,70
77,37123946,FAWN RIDGE RD,,A41,1721,1721,47,99,48,98,0,,Fawn Ridge Rd,70
78,37123967,CROSS ST,,A41,1721,1721,100,164,,,0,,Cross St,70
79,37123993,FAWN RIDGE RD,,A41,1721,1721,1,45,2,46,0,,Fawn Ridge Rd,70
80,37124012,CROSS ST,,A41,1721,1721,166,188,,,0,,Cross St,70
81,37124049,CROSS ST,,A41,1721,1721,190,298,99,299,0,,Cross St,70
82,37124076,HIGH ST,,A41,,1721,,,,,0,,High St,70
83,37124084,CROSS ST,,A41,,1721,,,,,0,,Cross St,70
84,37124094,HIGH ST,,A41,1721,1721,199,179,,,0,,High St,70
85,37124103,HIGH ST,,A41,1721,1721,177,155,182,160,0,,High St,70
86,37124126,HIGH ST,,A41,,1721,,,,,0,,High St,70
87,37124385,W UNION ST,STATE HIGHWAY 135,A31,1721,1721,399,321,398,320,0,135,W Union St,53
88,37124402,,,A41,,,,,,,0,,,70
89,37124412,,,A41,,,,,,,0,,,70
90,37124429,FRANKLAND RD,,A41,1721,1721,73,69,,,0,,Frankland Rd,70
91,37124446,PENNOCK RD,,A41,,1721,,,,,0,,Pennock Rd,70
92,37124457,,,A41,,,,,,,0,,,70
93,37124525,,,A41,,,,,,,0,,,70
94,37124559,HIGH ST,,A41,,1721,,,,,0,,High St,70
95,37124575,HARDWICK RD,,A41,1721,1721,99,81,98,80,0,,Hardwick Rd,70
96,37124606,HARDWICK RD,,A41,1721,1721,79,9,78,28,0,,Hardwick Rd,70
97,37124699,STERLING WAY,,A41,,1721,,,,,0,,Sterling Way,70
98,37124726,FRANKLAND RD,,A41,1721,1721,49,67,106,100,0,,Frankland Rd,70
99,37124738,FRANKLAND RD,,A41,,1721,,,66,70,0,,Frankland Rd,70
100,37124752,HARDWICK RD,,A41,1721,1721,7,1,26,22,0,,Hardwick Rd,70
101,37124770,PENNOCK RD,,A41,,1721,,,,,0,,Pennock Rd,70
102,37124808,ROME WAY,,A41,,1721,,,,,0,,Rome Way,70
103,37124817,PENNOCK RD,,A41,,1721,,,,,0,,Pennock Rd,70
104,37124856,WINESAP WAY,,A41,1721,1721,3,1,2,98,0,,Winesap Way,70
105,37124888,WINESAP WAY,,A41,,1721,,,13,23,0,,Winesap Way,70
106,37124896,HIGH ST,,A41,1721,1721,50,98,51,99,0,,High St,70
107,37124905,HIGH ST,,A41,1721,1721,12,48,11,49,0,,High St,70
108,37124916,WILBUR DR,,A41,1721,1721,1,31,2,36,0,,Wilbur Dr,70
109,37124937,ORCHARD RD,,A41,1721,1721,38,98,61,99,0,,Orchard Rd,70
110,37124976,ROME WAY,,A41,1721,1721,2,98,1,99,0,,Rome Way,70
111,37125002,ORCHARD RD,,A41,1721,1721,12,36,15,59,0,,Orchard Rd,70
112,37125024,ORCHARD RD,,A41,1721,1721,8,10,7,13,0,,Orchard Rd,70
113,37125037,COURTLAND LN,,A41,1721,1721,1,21,2,20,0,,Courtland Ln,70
114,37125055,ORCHARD RD,,A41,1721,1721,2,6,1,5,0,,Orchard Rd,70
115,37125066,WILBUR DR,,A41,1721,1721,56,70,69,71,0,,Wilbur Dr,70
116,37125082,INDIAN BROOK RD,,A41,1721,1721,2,12,1,13,0,,Indian Brook Rd,70
117,37125112,HOWE ST,,A41,1721,1721,77,79,80,76,0,,Howe St,70
118,37125130,INDIAN BROOK RD,,A41,1721,1721,30,98,29,99,0,,Indian Brook Rd,70
119,37125187,DALE RD,,A41,1721,1721,99,1,98,2,0,,Dale Rd,70
120,37125214,WHITTEMORE DR,,A41,1721,1721,74,98,73,99,0,,Whittemore Dr,70
121,37125228,WHITTEMORE DR,,A41,1721,1721,60,72,59,71,0,,Whittemore Dr,70
