,NAME,CLASS,Speed,TIME (min)
0,H ST,A40,15,0.08291165680080893
1,E 4TH ST,A40,15,0.191999774074037
2,LOCKE PL,A40,15,0.13818609447240157
3,E BROADWAY,A40,15,0.1800169142044373
4,E BROADWAY,A40,15,0.14802671292218952
5,EMERSON ST,A40,15,0.3548847391330392
6,BEACON ST,A38,25,0.06426186352214516
7,KESWICK ST,A40,15,0.30784266070909627
8,BEACON ST,A38,25,0.03902275373513522
9,ST MARYS ST,A40,15,0.19453582811482448
10,MOUNTFORT ST,A21,25,0.036766128361049394
11,MOUNTFORT ST,A21,25,0.08877940074831246
12,ST MARYS ST,A40,15,0.11242000461460207
13,ST MARYS ST,A40,15,0.05527443786706575
14,I 90,A11,45,0.02240685970925098
15,MASSACHUSETTS TPKE,A11,45,0.02240685970925098
16,ST MARYS ST,A40,15,0.1978104611587305
17,ST MARYS ST,A40,15,0.05892750775839679
18,MEMORIAL DR,A21,25,0.2945725001991888
19,US HWY 3,A21,25,0.2945725001991888
20,VASSAR ST,A41,15,0.6096902806172312
21,CHESTNUT ST,A40,15,0.2959079201685935
22,SIDNEY ST,A40,15,0.19142039293809832
23,FORT WASHINGTON PL,A40,15,0.1587372501053986
24,SIDNEY ST,A40,15,0.0618020725105731
25,WAVERLY ST,A40,15,0.25322342340386284
26,PUTNAM AVE,A40,15,0.1652642648199688
27,PUTNAM CT,A40,15,0.0442302166488574
28,PUTNAM CT,A40,15,0.0721650057011222
29,PUTNAM AVE,A40,15,0.1315355270605317
30,BROOKLINE ST,A41,15,0.27491364762376497
31,PUTNAM AVE,A40,15,0.18469117696684859
32,E 8TH ST,A40,15,0.28603700777779484
33,COLUMBIA RD,A40,15,0.2713000545336397
34,COLUMBIA RD,A40,15,0.12258884824875167
35,DOUGLAS ST,A40,15,0.221097751167598
36,E 7TH ST,A40,15,0.30646432461867146
37,E 8TH ST,A40,15,0.04086242989081834
38,WINFIELD ST,A40,15,0.22203973700109425
39,WILLIAM J DAY BLVD,A41,15,0.874751396752709
40,HAMLIN ST,A40,15,0.221097751167598
41,COLUMBIA RD,A40,15,0.14302032295475237
42,H ST,A40,15,0.221097751167598
43,E 8TH ST,A40,15,0.08172485944925843
44,E 8TH ST,A40,15,0.03436931415179166
45,E 7TH ST,A40,15,0.12258572985878251
46,SANGER ST,A40,15,0.19346053225809817
47,E 8TH ST,A40,15,0.12566397824177972
48,H ST,A40,15,0.221097751167598
49,E 7TH ST,A40,15,0.12258572985878251
50,H ST,A40,15,0.08291165647291847
51,COLUMBIA RD,A40,15,0.3269035952136652
52,E 8TH ST,A40,15,0.12566397824177972
53,E 7TH ST,A40,15,0.12258572985878251
54,E 8TH ST,A40,15,0.08172472938225485
55,SPRINGER ST,A40,15,0.19346053225809817
56,E 7TH ST,A40,15,0.08172381990540119
57,BREWSTER ST,A40,15,0.19346053225809817
58,G ST,A40,15,0.13818609447240157
59,G ST,A40,15,0.08291165647291847
60,G ST,A40,15,0.08539176849579624
61,G ST,A40,15,0.05892937710007511
62,G ST,A40,15,0.13818609447240157
63,G ST,A40,15,0.16707712986013987
64,E 5TH ST,A40,15,0.2655948134788079
65,E 6TH ST,A40,15,0.5516287678699612
66,STORY ST,A40,15,0.5319127471771132
67,4TH ST PL,A40,15,0.11054887573480449
68,G ST,A40,15,0.13818609447240157
69,G ST,A40,15,0.13818609447240157
70,E 4TH ST,A40,15,0.2860224549791501
71,G ST,A40,15,0.22109775122907768
72,DORCHESTER ST,A40,15,0.09865674964795858
73,G ST,A40,15,0.02763721893349081
74,E 3RD ST,A40,15,0.3280394766140187
75,E BROADWAY,A40,15,0.4085970101061497
76,COLEBROOK ST,A40,15,0.2247390754998298
77,H ST,A40,15,0.03436910176916844
78,H ST,A40,15,0.11242094941964291
79,H ST,A40,15,0.11242092572102218
80,E 5TH ST,A40,15,0.2655948134788079
81,H ST,A40,15,0.16582331335797224
82,H ST,A40,15,0.16707712986013987
83,MONUMENT CT,A40,15,0.061292572301706955
84,E 6TH ST,A40,15,0.12566093616396995
85,HENDERSON AVE,A40,15,0.11054887573480449
86,E 6TH ST,A40,15,0.18387596357238614
